Order ID;Order Date;Ship Date;Ship Code;Customer ID;Postal Code;Product ID;Sales;Quantity;Discount;Profit
US-2017-133781;22-6-2017;23-6-2017;SC_02;DC-12850;33178;OFF-EN-10004483;37,608;3;0,2;12,6927
CA-2017-131618;17-6-2017;20-6-2017;SC_02;LS-17200;60076;OFF-PA-10001892;12,224;2;0,2;4,4312
CA-2017-131618;17-6-2017;20-6-2017;SC_02;LS-17200;60076;OFF-BI-10000546;2,304;4;0,8;-3,5712
CA-2017-131618;17-6-2017;20-6-2017;SC_02;LS-17200;60076;OFF-BI-10001294;9,36;4;0,8;-16,38
CA-2016-149482;14-11-2016;19-11-2016;SC_03;RR-19315;94110;OFF-LA-10000248;7,38;2;0;3,4686
CA-2014-143917;25-7-2014;27-7-2014;SC_04;KL-16645;94122;OFF-ST-10001228;53,72;4;0;15,0416
CA-2014-143917;25-7-2014;27-7-2014;SC_04;KL-16645;94122;OFF-SU-10000151;8187,65;5;0;327,506
CA-2014-143917;25-7-2014;27-7-2014;SC_04;KL-16645;94122;FUR-FU-10004351;77,92;8;0;34,2848
CA-2015-120397;2-7-2015;2-7-2015;SC_01;RB-19435;77070;OFF-AP-10001293;32,784;4;0,8;-85,2384
CA-2017-163902;2-3-2017;8-3-2017;SC_03;MY-17380;90045;TEC-PH-10000675;196,776;3;0,2;14,7582
CA-2017-163902;2-3-2017;8-3-2017;SC_03;MY-17380;90045;TEC-AC-10000580;479,94;6;0;52,7934
CA-2016-136812;18-11-2016;23-11-2016;SC_03;AW-10930;73120;OFF-ST-10003470;1117,92;4;0;55,896
CA-2015-102722;18-4-2015;19-4-2015;SC_02;KW-16570;71203;TEC-AC-10003116;106,5;6;0;41,535
CA-2017-155089;2-12-2017;6-12-2017;SC_03;DB-12910;33614;OFF-BI-10002429;45,66;5;0,7;-33,484
CA-2016-124506;11-11-2016;17-11-2016;SC_03;BB-11545;60623;TEC-AC-10003280;95,968;4;0,2;1,1996
CA-2016-124506;11-11-2016;17-11-2016;SC_03;BB-11545;60623;FUR-CH-10004540;47,992;2;0,3;-2,0568
CA-2014-106572;5-9-2014;10-9-2014;SC_03;NP-18700;43402;OFF-ST-10000585;264,32;2;0,2;19,824
CA-2014-128888;15-11-2014;22-11-2014;SC_03;PB-19105;77095;OFF-EN-10003001;604,656;9;0,2;204,0714
CA-2017-123134;2-5-2017;7-5-2017;SC_03;DW-13585;7090;FUR-FU-10003975;129,93;3;0;
CA-2016-124352;15-10-2016;21-10-2016;SC_03;CD-12790;73120;OFF-LA-10004559;20,16;7;0;9,8784
CA-2016-124352;15-10-2016;21-10-2016;SC_03;CD-12790;73120;OFF-LA-10003223;;6;0;14,4354
CA-2016-124352;15-10-2016;21-10-2016;SC_03;CD-12790;73120;OFF-AP-10002651;868,59;3;0;251,8911
